"data","conta","valor"
"06/07/2026 00:00:00","574430933-7","16.2"
"06/07/2026 00:00:00","575238291-9","199.93"
"06/07/2026 00:00:00","575238291-9","212.96"
"06/07/2026 00:00:00","575238291-9","3834.08"
"06/07/2026 00:00:00","575238291-9","11578.71"
"07/07/2026 00:00:00","574430934-5","115475.92"
"08/07/2026 00:00:00","574430925-6","20.06"
"08/07/2026 00:00:00","574430933-7","62.68"
"08/07/2026 00:00:00","575238291-9","344.4"
"08/07/2026 00:00:00","575238291-9","586.41"
"08/07/2026 00:00:00","575238291-9","922.83"
"08/07/2026 00:00:00","575238291-9","986.69"
"08/07/2026 00:00:00","575890215-9","2340"
"08/07/2026 00:00:00","575890215-9","3718.6"
"09/07/2026 00:00:00","574430925-6","862.93"
"09/07/2026 00:00:00","574430952-3","3365.5"
"13/07/2026 00:00:00","574430925-6","10000000"
"13/07/2026 00:00:00","574430933-7","22.96"
"13/07/2026 00:00:00","574430933-7","216.74"
"13/07/2026 00:00:00","575890215-9","538.32"
"17/07/2026 00:00:00","574430925-6","20000000"
"20/07/2026 00:00:00","574430925-6","699.8"
"20/07/2026 00:00:00","574430925-6","1777.07"
"20/07/2026 00:00:00","574430925-6","2318.64"
"20/07/2026 00:00:00","574430925-6","2764.53"
"20/07/2026 00:00:00","574430925-6","57967.67"
"20/07/2026 00:00:00","574430925-6","78058.77"
"20/07/2026 00:00:00","574430925-6","2000000"
"21/07/2026 00:00:00","575238289-7","18000000"
"21/07/2026 00:00:00","574430925-6","10000000"
"21/07/2026 00:00:00","574430936-1","5201970.41"
"22/07/2026 00:00:00","574430933-7","51520.37"
"22/07/2026 00:00:00","574430933-7","84823"
"22/07/2026 00:00:00","575238274-9","2414895.18"
